University,Computer Science,Data Science,Electrical Engineering,None-Control,Neuroscience,Xyzzy,Economics,Nursing,Business,Philosophy,Biology,Black Studies,Communication,Psychology,Education,Visual Arts,Gender Studies,History,Literature,Ranking,USNWR_Category,HBCU_display
Massachusetts Institute of Technology,160000.0,155000.0,150000.0,150000.0,148500.0,145000.0,145000.0,145000.0,145000.0,145000.0,145000.0,140000.0,135500.0,140000.0,140000.0,140000.0,135000.0,135000.0,135000.0,2.0,National,
Harvard University,150000.0,150000.0,150000.0,150000.0,155000.0,145000.0,145000.0,140000.0,145000.0,140000.0,140000.0,140000.0,140000.0,137500.0,140000.0,135000.0,135000.0,135000.0,135000.0,3.0,National,
Princeton University,150000.0,150000.0,150000.0,148500.0,145000.0,145000.0,145000.0,145000.0,145000.0,140000.0,141500.0,135500.0,139000.0,140000.0,135000.0,139000.0,136500.0,135000.0,135000.0,1.0,National,
Stanford University,150000.0,150000.0,150000.0,150000.0,145000.0,145000.0,145000.0,145000.0,145000.0,145000.0,140000.0,140000.0,135000.0,135000.0,135000.0,135000.0,135000.0,135000.0,135000.0,3.0,National,
Hogwarts School of Witchcraft and Wizardry,145000.0,145000.0,145000.0,145000.0,145000.0,140000.0,140000.0,141000.0,140000.0,145000.0,140000.0,140000.0,137500.0,140000.0,140000.0,135000.0,135000.0,137500.0,135000.0,,Fake,
University of Washington-Seattle,145000.0,145000.0,145000.0,145000.0,145000.0,140000.0,145000.0,140000.0,140000.0,140000.0,135000.0,140000.0,135000.0,135000.0,135000.0,133500.0,133500.0,135000.0,130000.0,40.0,National,
Cambridge State University,145000.0,145000.0,145000.0,145000.0,145000.0,140000.0,140000.0,140000.0,141000.0,140000.0,135000.0,135000.0,135000.0,135000.0,135000.0,134500.0,135000.0,134000.0,135000.0,,Diploma Mill,
Northwestern University,150000.0,145000.0,145000.0,145000.0,145000.0,145000.0,140000.0,140000.0,140000.0,135000.0,135000.0,135000.0,133500.0,135000.0,133500.0,133500.0,135000.0,130000.0,130000.0,9.0,National,
Case Western Reserve University,145000.0,148500.0,145000.0,145000.0,143500.0,144000.0,140000.0,142500.0,136000.0,140000.0,140000.0,135000.0,135000.0,135000.0,135000.0,130000.0,131000.0,130000.0,130000.0,53.0,National,
California University of College,145000.0,145000.0,145000.0,145000.0,145000.0,140000.0,145000.0,140000.0,135000.0,135000.0,140000.0,137500.0,135000.0,130000.0,135000.0,135000.0,130000.0,135000.0,130000.0,,Fake,
University of California-Berkeley,145000.0,150000.0,145000.0,145000.0,145000.0,140000.0,140000.0,140000.0,135000.0,136500.0,135000.0,136000.0,135000.0,135000.0,133500.0,135000.0,135000.0,130000.0,130000.0,15.0,National,
Williams College,145000.0,145000.0,145000.0,145000.0,141000.0,145000.0,140000.0,137500.0,135000.0,135000.0,140000.0,140000.0,135000.0,130000.0,135000.0,134000.0,131000.0,131000.0,135000.0,1.0,Liberal Arts,
University of Virginia,150000.0,145000.0,145000.0,145000.0,145000.0,140000.0,140000.0,140000.0,140000.0,135000.0,137500.0,135000.0,130500.0,130000.0,135000.0,135000.0,135000.0,130000.0,130000.0,24.0,National,
Morehouse College,145000.0,145000.0,145000.0,145000.0,140000.0,140000.0,140000.0,140000.0,135000.0,135000.0,135000.0,140000.0,135000.0,135000.0,135000.0,132500.0,135000.0,135000.0,130000.0,100.0,Liberal Arts,+ HBCU
Eastern Michigan University,145000.0,145000.0,145000.0,145000.0,144000.0,140000.0,140000.0,140000.0,140000.0,135000.0,140000.0,135000.0,135000.0,135000.0,135000.0,133500.0,130000.0,130000.0,130000.0,376.0,National,
Southern Methodist University,145000.0,145000.0,145000.0,145000.0,140000.0,145000.0,142500.0,140000.0,140000.0,135000.0,135000.0,135000.0,130000.0,135000.0,135000.0,135000.0,135000.0,130000.0,130000.0,89.0,National,
Vanderbilt University,150000.0,145000.0,145000.0,145000.0,145000.0,145000.0,145000.0,145000.0,135000.0,135000.0,135000.0,135000.0,132500.0,132500.0,132500.0,130000.0,130000.0,130000.0,130000.0,18.0,National,
Howard University,150000.0,145000.0,145000.0,145000.0,145000.0,140000.0,140000.0,140000.0,137500.0,140000.0,135000.0,135000.0,135000.0,135000.0,130000.0,130000.0,130000.0,133500.0,130000.0,115.0,National,+ HBCU
Almeda University,145000.0,145000.0,145000.0,140000.0,140000.0,140000.0,141000.0,140000.0,135000.0,135000.0,135000.0,135000.0,135000.0,135000.0,135000.0,135000.0,130000.0,135000.0,135000.0,,Diploma Mill,
Bryn Mawr College,145000.0,145000.0,145000.0,145000.0,145000.0,142500.0,140000.0,140000.0,135000.0,135000.0,135000.0,135000.0,135000.0,135000.0,135000.0,130000.0,135000.0,130000.0,127500.0,30.0,Liberal Arts,
North Carolina A&T State University,140000.0,145000.0,145000.0,142500.0,140000.0,140000.0,140000.0,140000.0,135000.0,140000.0,140000.0,135000.0,135000.0,135000.0,135000.0,130000.0,127000.0,133500.0,135000.0,280.0,National,+ HBCU
Haskell Indian Nations University,145000.0,145000.0,145000.0,145000.0,145000.0,140000.0,140000.0,135000.0,135000.0,135000.0,136000.0,135000.0,134500.0,135000.0,135000.0,132000.0,135000.0,130000.0,130000.0,,Tribal College,
University of Michigan-Ann Arbor,145000.0,145000.0,145000.0,145000.0,140000.0,140000.0,145000.0,135000.0,135000.0,140000.0,135000.0,132000.0,135000.0,134000.0,140000.0,130000.0,130000.0,130000.0,130000.0,21.0,National,
Louisiana Tech University,145000.0,145000.0,145000.0,145000.0,140000.0,145000.0,145000.0,140000.0,140000.0,138500.0,135000.0,135000.0,130000.0,130000.0,130000.0,130000.0,130000.0,131000.0,130000.0,304.0,National,
University of Southern California,150000.0,145000.0,145000.0,145000.0,145000.0,140000.0,140000.0,141000.0,137500.0,140000.0,135000.0,135000.0,130000.0,132500.0,130000.0,130000.0,132500.0,130000.0,125000.0,28.0,National,
Salish Kootenai College,145000.0,145000.0,145000.0,140000.0,145000.0,140000.0,138500.0,137500.0,137500.0,135000.0,140000.0,135000.0,135000.0,135000.0,130000.0,130000.0,130000.0,135000.0,130000.0,,Tribal College,
Southeastern Midland State University,145000.0,145000.0,145000.0,145000.0,145000.0,137500.0,140000.0,143500.0,135000.0,135000.0,135000.0,140000.0,135000.0,131000.0,133500.0,130000.0,130000.0,130000.0,127500.0,,Fake,
University of California-Los Angeles,145000.0,145000.0,145000.0,145000.0,145000.0,143500.0,140000.0,140000.0,137500.0,135000.0,137500.0,133500.0,135000.0,130000.0,130000.0,130000.0,130000.0,130000.0,130000.0,15.0,National,
University of California-San Diego,145000.0,145000.0,145000.0,145000.0,140000.0,140000.0,140000.0,140000.0,135000.0,135000.0,135000.0,135000.0,132500.0,135000.0,130000.0,133500.0,130000.0,135000.0,130000.0,28.0,National,
University of Massachusetts-Boston,145000.0,144500.0,145000.0,145000.0,145000.0,139000.0,140000.0,140000.0,135000.0,136000.0,135000.0,135000.0,134500.0,130000.0,135000.0,130000.0,130000.0,130000.0,131000.0,216.0,National,
Michigan State University,145000.0,145000.0,145000.0,145000.0,140000.0,140000.0,140000.0,135000.0,135000.0,139000.0,135000.0,135000.0,133500.0,135000.0,130000.0,135000.0,132000.0,130000.0,130000.0,60.0,National,
Rochville University,145000.0,145000.0,145000.0,140000.0,145000.0,140000.0,142500.0,135000.0,136500.0,135000.0,135000.0,135000.0,130000.0,130000.0,135000.0,135000.0,135000.0,130000.0,130000.0,,Diploma Mill,
Santa Clara University,145000.0,145000.0,145000.0,145000.0,145000.0,139000.0,135000.0,140000.0,135000.0,135000.0,135000.0,135000.0,135000.0,135000.0,130000.0,135000.0,130000.0,130000.0,130000.0,55.0,National,
Belford University,145000.0,145000.0,145000.0,145000.0,145000.0,140000.0,145000.0,135000.0,140000.0,135000.0,135000.0,135000.0,130000.0,130500.0,130000.0,130000.0,130000.0,132000.0,130000.0,,Diploma Mill,
Pomona College,145000.0,145000.0,145000.0,140000.0,140000.0,140000.0,140000.0,135000.0,140000.0,135000.0,135000.0,135000.0,135000.0,135000.0,135000.0,130000.0,130000.0,132500.0,130000.0,4.0,Liberal Arts,
South Harmon Institute of Technology,145000.0,145000.0,145000.0,140000.0,140000.0,140000.0,140000.0,140000.0,135000.0,135000.0,135000.0,135000.0,135000.0,135000.0,132000.0,130000.0,130000.0,135000.0,130000.0,,Fake,
Dillard University,145000.0,145000.0,145000.0,140000.0,140000.0,140000.0,140000.0,140000.0,140000.0,133500.0,135000.0,135000.0,135000.0,135000.0,135000.0,130000.0,130000.0,130000.0,127500.0,159.0,Liberal Arts,+ HBCU
None-Control,145000.0,145000.0,145000.0,145000.0,145000.0,145000.0,140000.0,140000.0,135000.0,135000.0,135000.0,135000.0,130000.0,130000.0,130000.0,135000.0,131000.0,130000.0,125000.0,,Control,
University of Alabama,145000.0,145000.0,145000.0,145000.0,145000.0,140000.0,140000.0,140000.0,135000.0,135000.0,135000.0,135000.0,130000.0,135000.0,130000.0,130000.0,130000.0,130000.0,130000.0,170.0,National,
Spelman College,145000.0,145000.0,145000.0,145000.0,140000.0,141500.0,135000.0,137250.0,135000.0,135000.0,135000.0,135000.0,135000.0,130000.0,135000.0,135000.0,130000.0,130000.0,130000.0,39.0,Liberal Arts,+ HBCU
Oberlin College,145000.0,145000.0,145000.0,145000.0,140000.0,140000.0,140000.0,145000.0,135000.0,135000.0,135000.0,135000.0,133500.0,130000.0,130000.0,130000.0,130000.0,130000.0,130000.0,51.0,Liberal Arts,
Florida A&M University,145000.0,145000.0,145000.0,141000.0,145000.0,140000.0,140000.0,135000.0,135000.0,135000.0,135000.0,135000.0,135000.0,135000.0,130000.0,131000.0,130000.0,130000.0,130000.0,170.0,National,+ HBCU
University at Albany-SUNY,140000.0,145000.0,140000.0,140000.0,141000.0,140000.0,140000.0,136000.0,135000.0,135000.0,136500.0,132000.0,135000.0,135000.0,130000.0,135000.0,135000.0,130000.0,135000.0,133.0,National,
Diné College,145000.0,145000.0,143500.0,140000.0,145000.0,140000.0,140000.0,140000.0,135000.0,130000.0,135000.0,134000.0,131000.0,135000.0,130000.0,132500.0,135000.0,130000.0,125000.0,,Tribal College,
University of North Dakota,145000.0,140000.0,145000.0,145000.0,145000.0,140000.0,140000.0,140000.0,135000.0,135000.0,135000.0,133500.0,131000.0,130000.0,130000.0,130000.0,130000.0,130000.0,130000.0,234.0,National,
University of Maryland-Baltimore County,145000.0,145000.0,145000.0,142500.0,140000.0,140000.0,140000.0,135000.0,135000.0,135000.0,135000.0,131000.0,130000.0,130000.0,135000.0,135000.0,130000.0,125000.0,130000.0,133.0,National,
University of California-Riverside,145000.0,143500.0,145000.0,140000.0,140000.0,140000.0,140000.0,135000.0,135000.0,135000.0,135000.0,135000.0,130000.0,130000.0,133500.0,130000.0,130000.0,130000.0,130000.0,76.0,National,
University of Arizona-Tucson,145000.0,140000.0,145000.0,145000.0,140000.0,140000.0,135000.0,135000.0,134500.0,135000.0,135000.0,130000.0,135000.0,132500.0,130000.0,128500.0,125000.0,130000.0,128000.0,115.0,National,
Medgar Evers College-CUNY,140000.0,140000.0,140000.0,140000.0,140000.0,135000.0,135000.0,135000.0,135000.0,130000.0,134500.0,135000.0,130000.0,130000.0,130000.0,130000.0,127000.0,131000.0,127500.0,182.0,Liberal Arts,
University of Phoenix-Online,140000.0,140000.0,140000.0,140000.0,137500.0,136500.0,135000.0,135000.0,130000.0,135000.0,130000.0,130000.0,130000.0,130000.0,125000.0,130000.0,125000.0,130000.0,125000.0,,Online,
